locality,name_department,id_sensor,datetime,device_type,nbrRoom,temperature
Albaro,DIME,5.3,1643548195,Arduino,503,21.852694530501584
San Vincenzo,DISFOR,10.1,1643548195,Raspberry pi,1001,18.06746482986341
San Martino,DIBRIS,4.2,1643548195,Raspberry pi,402,19.80245810383065
San Martino,DIMA,2.1,1643548195,Raspberry pi,201,21.04141394078114
San Vincenzo,DISFOR,10.1,1643548195,Raspberry pi,1001,8.327339780997978
Albaro,DIME,5.2,1643548195,Arduino,502,15.422481953087866
Darsena,Economia,7.3,1643548195,Arduino,703,23.139409411602912
Molo,DAD,6.1,1643548195,Raspberry pi,601,18.921608565505224
San Martino,DCCI,3.3,1643548195,Arduino,303,7.561157131850264
Darsena,Economia,7.3,1643548195,Arduino,703,13.441898787975367
Molo,DAD,6.1,1643548195,Raspberry pi,601,8.3723099389865
San Martino,DIFI,1.2,1643548195,Arduino,102,9.895562538635982
Albaro,DIME,5.3,1643548195,Arduino,503,21.299106431550868
Albaro,DIME,5.1,1643548195,Arduino,501,17.669801350459462
San Martino,DIFI,1.2,1643548195,Arduino,102,27.57075535698225
Darsena,Economia,7.3,1643548195,Arduino,703,22.57025087196324
Prè,DIRAAS,9.2,1643548195,Arduino,902,20.39707003553886
Prè,DAFIST,8.3,1643548195,Raspberry pi,803,8.598743806908285
San Martino,DIFI,1.2,1643548195,Arduino,102,27.287505183592874
Molo,DAD,6.3,1643548195,Raspberry pi,603,13.233021726067527
San Martino,DCCI,3.3,1643548195,Arduino,303,20.410259981407545
Molo,DAD,6.2,1643548195,Raspberry pi,602,18.316238423077987
Albaro,DIME,5.2,1643548195,Arduino,502,12.677184874175135
Castelletto,DISPO,11.2,1643548195,Arduino,1102,24.802653071194634
Molo,DAD,6.1,1643548195,Raspberry pi,601,8.37941828313269
Castelletto,DISPO,11.1,1643548195,Arduino,1101,27.00055649513677
Albaro,DIME,5.1,1643548195,Arduino,501,8.975665593399881
San Martino,DIBRIS,4.2,1643548195,Raspberry pi,402,27.672750687342376
San Vincenzo,DISFOR,10.1,1643548195,Raspberry pi,1001,7.014850485407774
Darsena,Economia,7.1,1643548195,Arduino,701,22.387605111166266
Prè,DIRAAS,9.1,1643548195,Arduino,901,22.08733874709035
San Martino,DIBRIS,4.3,1643548195,Raspberry pi,403,15.552932434764788
Molo,DAD,6.1,1643548196,Raspberry pi,601,13.718776758682285
San Vincenzo,DISFOR,10.3,1643548196,Raspberry pi,1003,25.140779050012213
Darsena,Economia,7.2,1643548196,Arduino,702,14.391576426059869
Castelletto,DISPO,11.1,1643548196,Arduino,1101,14.37792802660208
Albaro,DIME,5.1,1643548196,Arduino,501,24.100562402537786
Albaro,DIME,5.3,1643548196,Arduino,503,7.318795153057043
Castelletto,DISPO,11.2,1643548196,Arduino,1102,8.368525154999087
San Vincenzo,DISFOR,10.1,1643548196,Raspberry pi,1001,21.075343191484308
Albaro,DIME,5.2,1643548196,Arduino,502,22.514818681925668
Molo,DAD,6.2,1643548196,Raspberry pi,602,7.306691454077997
San Vincenzo,DISFOR,10.2,1643548196,Raspberry pi,1002,17.018229765527888
San Vincenzo,DISFOR,10.3,1643548196,Raspberry pi,1003,13.846777145295947
San Vincenzo,DISFOR,10.1,1643548196,Raspberry pi,1001,20.043297271305466
San Vincenzo,DISFOR,10.2,1643548196,Raspberry pi,1002,27.487749887664233
San Martino,DIMA,2.2,1643548196,Raspberry pi,202,19.624966364049186
San Martino,DIBRIS,4.2,1643548196,Raspberry pi,402,8.957172903407367
Castelletto,DISPO,11.2,1643548196,Arduino,1102,11.300561515160494
San Vincenzo,DISFOR,10.1,1643548196,Raspberry pi,1001,8.677143968925746
Molo,DAD,6.1,1643548196,Raspberry pi,601,24.6455161859402
Prè,DIRAAS,9.1,1643548196,Arduino,901,18.331113965022425
Prè,DAFIST,8.2,1643548196,Raspberry pi,802,19.51893360514947
San Martino,DIBRIS,4.1,1643548196,Raspberry pi,401,11.264546921655604
Darsena,Economia,7.1,1643548196,Arduino,701,21.029217715062767
San Martino,DIMA,2.1,1643548196,Raspberry pi,201,15.386513179901964
San Vincenzo,DISFOR,10.2,1643548196,Raspberry pi,1002,8.897134293316054
Albaro,DIME,5.1,1643548196,Arduino,501,9.206408551430636
Castelletto,DISPO,11.1,1643548196,Arduino,1101,11.474501900791054
San Martino,DIMA,2.3,1643548196,Raspberry pi,203,9.234511603282067
Darsena,Economia,7.2,1643548196,Arduino,702,24.92353292870457
San Vincenzo,DISFOR,10.1,1643548196,Raspberry pi,1001,8.434038702272334
Molo,DAD,6.1,1643548196,Raspberry pi,601,18.067637322538832
Molo,DAD,6.2,1643548196,Raspberry pi,602,13.499480355276694
Albaro,DIME,5.2,1643548196,Arduino,502,17.428690312503225
Castelletto,DISPO,11.1,1643548196,Arduino,1101,13.207869262843476
Castelletto,DISPO,11.2,1643548196,Arduino,1102,19.499226564485078
San Vincenzo,DISFOR,10.2,1643548196,Raspberry pi,1002,14.914088608295966
Molo,DAD,6.3,1643548196,Raspberry pi,603,15.098345836557955
Prè,DAFIST,8.3,1643548196,Raspberry pi,803,19.667229432453105
Darsena,Economia,7.1,1643548196,Arduino,701,11.790719595362885
Prè,DIRAAS,9.3,1643548196,Arduino,903,10.07272974653667
San Vincenzo,DISFOR,10.2,1643548196,Raspberry pi,1002,11.061829648045011
Molo,DAD,6.1,1643548196,Raspberry pi,601,27.76114627803752
San Vincenzo,DISFOR,10.2,1643548196,Raspberry pi,1002,16.882345076591882
Darsena,Economia,7.3,1643548196,Arduino,703,13.175952896941011
Darsena,Economia,7.2,1643548196,Arduino,702,10.151180550681623
Albaro,DIME,5.1,1643548196,Arduino,501,17.120059102957672
Darsena,Economia,7.3,1643548196,Arduino,703,11.715790195848374
Castelletto,DISPO,11.1,1643548196,Arduino,1101,14.008234880554529
Albaro,DIME,5.2,1643548196,Arduino,502,25.35155392332752
Castelletto,DISPO,11.2,1643548196,Arduino,1102,12.442756029834518
San Vincenzo,DISFOR,10.3,1643548196,Raspberry pi,1003,9.582223018102855
Molo,DAD,6.2,1643548196,Raspberry pi,602,8.999213143266484
Albaro,DIME,5.1,1643548196,Arduino,501,9.42731906211275
Prè,DAFIST,8.1,1643548196,Raspberry pi,801,15.507644094648391
Darsena,Economia,7.3,1643548196,Arduino,703,18.138195104090247
Molo,DAD,6.3,1643548196,Raspberry pi,603,10.11517713949966
Molo,DAD,6.1,1643548196,Raspberry pi,601,15.460117806936907
Molo,DAD,6.1,1643548196,Raspberry pi,601,19.067282359988944
Albaro,DIME,5.3,1643548196,Arduino,503,17.740930046635203
San Martino,DCCI,3.1,1643548196,Arduino,301,24.513491628695768
Darsena,Economia,7.2,1643548196,Arduino,702,27.77394270735487
San Martino,DCCI,3.2,1643548196,Arduino,302,18.415724163525308
San Vincenzo,DISFOR,10.3,1643548196,Raspberry pi,1003,11.32078227534275
Molo,DAD,6.2,1643548196,Raspberry pi,602,21.760133878104742
San Martino,DIMA,2.2,1643548196,Raspberry pi,202,7.549969473523936
Albaro,DIME,5.2,1643548196,Arduino,502,26.504162914569825
Darsena,Economia,7.1,1643548196,Arduino,701,18.852414634702967
Albaro,DIME,5.3,1643548196,Arduino,503,27.85915856570828
Castelletto,DISPO,11.2,1643548196,Arduino,1102,17.551802547751628
Prè,DIRAAS,9.1,1643548196,Arduino,901,7.739161272199776
Darsena,Economia,7.3,1643548196,Arduino,703,21.528199595851245
Darsena,Economia,7.2,1643548196,Arduino,702,21.901832187885205
Molo,DAD,6.3,1643548196,Raspberry pi,603,14.688438687698836
Albaro,DIME,5.1,1643548196,Arduino,501,16.815980438893153
San Martino,DIMA,2.2,1643548196,Raspberry pi,202,16.820390748179825
Darsena,Economia,7.3,1643548196,Arduino,703,15.603008570162654
Prè,DAFIST,8.2,1643548196,Raspberry pi,802,11.99979472843925
Castelletto,DISPO,11.2,1643548196,Arduino,1102,9.06488011471948
San Vincenzo,DISFOR,10.3,1643548196,Raspberry pi,1003,25.912687995801612
Albaro,DIME,5.1,1643548196,Arduino,501,15.808797194883793
San Martino,DIMA,2.2,1643548196,Raspberry pi,202,24.344353222825198
Darsena,Economia,7.1,1643548196,Arduino,701,10.27969459443398
Castelletto,DISPO,11.3,1643548196,Arduino,1103,15.936580456302854
Castelletto,DISPO,11.1,1643548196,Arduino,1101,22.350682946438113
Albaro,DIME,5.3,1643548196,Arduino,503,25.15758449295608
San Martino,DIFI,1.2,1643548196,Arduino,102,18.18914072938966
San Martino,DIFI,1.3,1643548196,Arduino,103,25.638549451578488
San Martino,DCCI,3.2,1643548196,Arduino,302,15.962479438235569
Albaro,DIME,5.2,1643548196,Arduino,502,21.250111015902394
Darsena,Economia,7.2,1643548196,Arduino,702,27.403956436179104
San Vincenzo,DISFOR,10.1,1643548196,Raspberry pi,1001,14.77233020973356
San Vincenzo,DISFOR,10.2,1643548196,Raspberry pi,1002,17.312227797134227
Prè,DIRAAS,9.2,1643548196,Arduino,902,25.31395796543941
Darsena,Economia,7.3,1643548196,Arduino,703,24.808138122397512
San Vincenzo,DISFOR,10.2,1643548196,Raspberry pi,1002,23.78819358678319
San Vincenzo,DISFOR,10.3,1643548196,Raspberry pi,1003,11.011574162399981
Darsena,Economia,7.2,1643548196,Arduino,702,13.674900258210885
Prè,DAFIST,8.2,1643548196,Raspberry pi,802,23.58749930744841
San Martino,DIBRIS,4.2,1643548196,Raspberry pi,402,14.376562982114107
San Vincenzo,DISFOR,10.3,1643548196,Raspberry pi,1003,15.3289733652319
Albaro,DIME,5.1,1643548196,Arduino,501,25.815975141798592
Molo,DAD,6.2,1643548196,Raspberry pi,602,21.09359742718838
San Martino,DIBRIS,4.1,1643548196,Raspberry pi,401,12.834542883946144
San Vincenzo,DISFOR,10.1,1643548196,Raspberry pi,1001,10.107155914860432
San Vincenzo,DISFOR,10.2,1643548196,Raspberry pi,1002,25.501344919519692
San Martino,DIMA,2.2,1643548196,Raspberry pi,202,25.436863841305517
Molo,DAD,6.3,1643548196,Raspberry pi,603,25.93300631885645
Darsena,Economia,7.2,1643548196,Arduino,702,14.377901453972678
Prè,DIRAAS,9.1,1643548196,Arduino,901,12.452130302153911
Darsena,Economia,7.2,1643548196,Arduino,702,12.6672363042236
Darsena,Economia,7.3,1643548196,Arduino,703,7.967161578575557
San Martino,DIBRIS,4.2,1643548196,Raspberry pi,402,10.904772948913738
Albaro,DIME,5.1,1643548196,Arduino,501,13.002371616378735
Darsena,Economia,7.1,1643548196,Arduino,701,10.197831565203408
San Vincenzo,DISFOR,10.3,1643548196,Raspberry pi,1003,25.07258100371697
Albaro,DIME,5.1,1643548196,Arduino,501,9.202827224820373
Darsena,Economia,7.1,1643548196,Arduino,701,13.287901100132506
San Martino,DCCI,3.2,1643548196,Arduino,302,27.691146244578746
Molo,DAD,6.2,1643548196,Raspberry pi,602,8.829430099500128
Molo,DAD,6.3,1643548196,Raspberry pi,603,7.219024661688818
San Vincenzo,DISFOR,10.2,1643548196,Raspberry pi,1002,12.556703037519885
Castelletto,DISPO,11.3,1643548196,Arduino,1103,25.23942645551596
San Martino,DCCI,3.2,1643548196,Arduino,302,9.401446366811989
Molo,DAD,6.3,1643548196,Raspberry pi,603,26.32589598515984
Castelletto,DISPO,11.2,1643548196,Arduino,1102,13.454224694688499
Prè,DAFIST,8.2,1643548196,Raspberry pi,802,11.957764450383472
Castelletto,DISPO,11.2,1643548196,Arduino,1102,18.412906506384413
Castelletto,DISPO,11.2,1643548196,Arduino,1102,11.511087701920427
Molo,DAD,6.1,1643548196,Raspberry pi,601,9.182452416229424
Castelletto,DISPO,11.3,1643548196,Arduino,1103,9.540093752145944
Albaro,DIME,5.3,1643548196,Arduino,503,27.112943402243232
San Vincenzo,DISFOR,10.3,1643548196,Raspberry pi,1003,14.520114444422104
San Vincenzo,DISFOR,10.2,1643548196,Raspberry pi,1002,12.070434983651042
Castelletto,DISPO,11.2,1643548196,Arduino,1102,22.851425678447317
Darsena,Economia,7.1,1643548196,Arduino,701,24.142376789956327
Molo,DAD,6.2,1643548196,Raspberry pi,602,20.109464692241236
Prè,DAFIST,8.2,1643548196,Raspberry pi,802,11.714888127882562
Castelletto,DISPO,11.3,1643548196,Arduino,1103,20.61343709254693
San Vincenzo,DISFOR,10.2,1643548196,Raspberry pi,1002,7.0763006443022265
Castelletto,DISPO,11.3,1643548196,Arduino,1103,25.045180778273266
Albaro,DIME,5.2,1643548196,Arduino,502,10.804139054549577
Darsena,Economia,7.2,1643548196,Arduino,702,23.61836863394301
San Martino,DIBRIS,4.3,1643548196,Raspberry pi,403,21.336177001409773
Molo,DAD,6.1,1643548196,Raspberry pi,601,11.954560102646587
San Vincenzo,DISFOR,10.2,1643548196,Raspberry pi,1002,24.50598927109177
Castelletto,DISPO,11.2,1643548196,Arduino,1102,16.474024747951788
San Martino,DIMA,2.2,1643548196,Raspberry pi,202,15.88440760354624
Molo,DAD,6.1,1643548196,Raspberry pi,601,11.16003792910465
San Vincenzo,DISFOR,10.1,1643548196,Raspberry pi,1001,24.629930347932557
Castelletto,DISPO,11.3,1643548196,Arduino,1103,22.88387565489723
Molo,DAD,6.1,1643548196,Raspberry pi,601,27.022436205402144
San Vincenzo,DISFOR,10.1,1643548196,Raspberry pi,1001,16.340415274597646
Molo,DAD,6.2,1643548196,Raspberry pi,602,12.397546656392707
Castelletto,DISPO,11.2,1643548196,Arduino,1102,8.400121737280136
Darsena,Economia,7.2,1643548196,Arduino,702,17.85479742038496
Prè,DAFIST,8.2,1643548196,Raspberry pi,802,17.033802625872593
Molo,DAD,6.3,1643548196,Raspberry pi,603,27.66528455933165
San Vincenzo,DISFOR,10.1,1643548196,Raspberry pi,1001,11.271437143705715
Molo,DAD,6.2,1643548196,Raspberry pi,602,26.607436954600487
Prè,DAFIST,8.1,1643548196,Raspberry pi,801,25.169704305509292
Prè,DAFIST,8.1,1643548196,Raspberry pi,801,7.006459182798421
Molo,DAD,6.2,1643548196,Raspberry pi,602,14.452287490949724
Albaro,DIME,5.2,1643548196,Arduino,502,23.027817148873247
Albaro,DIME,5.3,1643548196,Arduino,503,9.013453701394264
Castelletto,DISPO,11.2,1643548196,Arduino,1102,17.74621566693277
San Martino,DIFI,1.2,1643548196,Arduino,102,22.89548694943429
Castelletto,DISPO,11.1,1643548196,Arduino,1101,18.285997281276934
Molo,DAD,6.3,1643548196,Raspberry pi,603,27.99381444546587
Molo,DAD,6.3,1643548196,Raspberry pi,603,13.487326301293747
Albaro,DIME,5.2,1643548196,Arduino,502,20.190461789951968
Castelletto,DISPO,11.3,1643548196,Arduino,1103,16.68673025036459
Castelletto,DISPO,11.1,1643548196,Arduino,1101,17.25088917435711
San Martino,DCCI,3.3,1643548196,Arduino,303,26.10244920165746
