device_type,id_device,equips,name_department
Arduino,5,"{{id_sensor:5.3,nbrroom:503}}",DIME
Raspberry pi,10,"{{id_sensor:10.1,nbrroom:1001}}",DISFOR
Raspberry pi,4,"{{id_sensor:4.2,nbrroom:402}}",DIBRIS
Raspberry pi,2,"{{id_sensor:2.1,nbrroom:201}}",DIMA
Raspberry pi,10,"{{id_sensor:10.1,nbrroom:1001}}",DISFOR
Arduino,5,"{{id_sensor:5.2,nbrroom:502}}",DIME
Arduino,7,"{{id_sensor:7.3,nbrroom:703}}",Economia
Raspberry pi,6,"{{id_sensor:6.1,nbrroom:601}}",DAD
Arduino,3,"{{id_sensor:3.3,nbrroom:303}}",DCCI
Arduino,7,"{{id_sensor:7.3,nbrroom:703}}",Economia
Raspberry pi,6,"{{id_sensor:6.1,nbrroom:601}}",DAD
Arduino,1,"{{id_sensor:1.2,nbrroom:102}}",DIFI
Arduino,5,"{{id_sensor:5.3,nbrroom:503}}",DIME
Arduino,5,"{{id_sensor:5.1,nbrroom:501}}",DIME
Arduino,1,"{{id_sensor:1.2,nbrroom:102}}",DIFI
Arduino,7,"{{id_sensor:7.3,nbrroom:703}}",Economia
Arduino,9,"{{id_sensor:9.2,nbrroom:902}}",DIRAAS
Raspberry pi,8,"{{id_sensor:8.3,nbrroom:803}}",DAFIST
Arduino,1,"{{id_sensor:1.2,nbrroom:102}}",DIFI
Raspberry pi,6,"{{id_sensor:6.3,nbrroom:603}}",DAD
Arduino,3,"{{id_sensor:3.3,nbrroom:303}}",DCCI
Raspberry pi,6,"{{id_sensor:6.2,nbrroom:602}}",DAD
Arduino,5,"{{id_sensor:5.2,nbrroom:502}}",DIME
Arduino,11,"{{id_sensor:11.2,nbrroom:1102}}",DISPO
Raspberry pi,6,"{{id_sensor:6.1,nbrroom:601}}",DAD
Arduino,11,"{{id_sensor:11.1,nbrroom:1101}}",DISPO
Arduino,5,"{{id_sensor:5.1,nbrroom:501}}",DIME
Raspberry pi,4,"{{id_sensor:4.2,nbrroom:402}}",DIBRIS
Raspberry pi,10,"{{id_sensor:10.1,nbrroom:1001}}",DISFOR
