name_department,locality,id_device,device_type,id_sensor,temperature,humidity,pressure,datetime,nbrRoom
DIME,Albaro,5,Arduino,5.3,21.852694530501584,62,1013.4323456755068,1643548195,503
DISFOR,San Vincenzo,10,Raspberry pi,10.1,18.06746482986341,57,1013.3764389655412,1643548195,1001
DIBRIS,San Martino,4,Raspberry pi,4.2,19.80245810383065,53,1013.3321258503087,1643548195,402
DIMA,San Martino,2,Raspberry pi,2.1,21.04141394078114,30,1013.5922680083936,1643548195,201
DISFOR,San Vincenzo,10,Raspberry pi,10.1,8.327339780997978,83,1013.3995675371052,1643548195,1001
DIME,Albaro,5,Arduino,5.2,15.422481953087866,34,1013.5298620790254,1643548195,502
Economia,Darsena,7,Arduino,7.3,23.139409411602912,80,1013.5083632928807,1643548195,703
DAD,Molo,6,Raspberry pi,6.1,18.921608565505224,79,1013.5440009239377,1643548195,601
DCCI,San Martino,3,Arduino,3.3,7.561157131850264,93,1013.3856458006247,1643548195,303
Economia,Darsena,7,Arduino,7.3,13.441898787975367,16,1013.3237637580087,1643548195,703
DAD,Molo,6,Raspberry pi,6.1,8.3723099389865,42,1013.4986197049666,1643548195,601
DIFI,San Martino,1,Arduino,1.2,9.895562538635982,50,1013.2681567756447,1643548195,102
DIME,Albaro,5,Arduino,5.3,21.299106431550868,97,1013.4991385350464,1643548195,503
DIME,Albaro,5,Arduino,5.1,17.669801350459462,19,1013.5193365495476,1643548195,501
DIFI,San Martino,1,Arduino,1.2,27.57075535698225,64,1013.4513452046393,1643548195,102
Economia,Darsena,7,Arduino,7.3,22.57025087196324,20,1013.5764627991347,1643548195,703
DIRAAS,Prè,9,Arduino,9.2,20.39707003553886,45,1013.4568454483457,1643548195,902
DAFIST,Prè,8,Raspberry pi,8.3,8.598743806908285,76,1013.3640434799196,1643548195,803
DIFI,San Martino,1,Arduino,1.2,27.287505183592874,3,1013.449482589583,1643548195,102
DAD,Molo,6,Raspberry pi,6.3,13.233021726067527,43,1013.3028168410024,1643548195,603
DCCI,San Martino,3,Arduino,3.3,20.410259981407545,92,1013.4938412582892,1643548195,303
DAD,Molo,6,Raspberry pi,6.2,18.316238423077987,96,1013.4616329427686,1643548195,602
DIME,Albaro,5,Arduino,5.2,12.677184874175135,36,1013.3114199073218,1643548195,502
DISPO,Castelletto,11,Arduino,11.2,24.802653071194634,35,1013.3945641354727,1643548195,1102
DAD,Molo,6,Raspberry pi,6.1,8.37941828313269,46,1013.3602143380504,1643548195,601
DISPO,Castelletto,11,Arduino,11.1,27.00055649513677,41,1013.4736567259692,1643548195,1101
DIME,Albaro,5,Arduino,5.1,8.975665593399881,5,1013.4287903911808,1643548195,501
DIBRIS,San Martino,4,Raspberry pi,4.2,27.672750687342376,4,1013.341255199621,1643548195,402
DISFOR,San Vincenzo,10,Raspberry pi,10.1,7.014850485407774,74,1013.3108494301621,1643548195,1001
Economia,Darsena,7,Arduino,7.1,22.387605111166266,91,1013.4660423714968,1643548195,701
DIRAAS,Prè,9,Arduino,9.1,22.08733874709035,80,1013.465913463608,1643548195,901
DIBRIS,San Martino,4,Raspberry pi,4.3,15.552932434764788,24,1013.550338724083,1643548195,403
DAD,Molo,6,Raspberry pi,6.1,13.718776758682285,7,1013.5130576072188,1643548196,601
DISFOR,San Vincenzo,10,Raspberry pi,10.3,25.140779050012213,93,1013.3636194565782,1643548196,1003
Economia,Darsena,7,Arduino,7.2,14.391576426059869,70,1013.4958289925682,1643548196,702
DISPO,Castelletto,11,Arduino,11.1,14.37792802660208,53,1013.5140052270443,1643548196,1101
DIME,Albaro,5,Arduino,5.1,24.100562402537786,22,1013.53533255739,1643548196,501
DIME,Albaro,5,Arduino,5.3,7.318795153057043,64,1013.432800695172,1643548196,503
DISPO,Castelletto,11,Arduino,11.2,8.368525154999087,89,1013.3425605275123,1643548196,1102
DISFOR,San Vincenzo,10,Raspberry pi,10.1,21.075343191484308,30,1013.5973409105395,1643548196,1001
DIME,Albaro,5,Arduino,5.2,22.514818681925668,47,1013.2654406615857,1643548196,502
DAD,Molo,6,Raspberry pi,6.2,7.306691454077997,67,1013.2661742149097,1643548196,602
DISFOR,San Vincenzo,10,Raspberry pi,10.2,17.018229765527888,100,1013.2962622441955,1643548196,1002
DISFOR,San Vincenzo,10,Raspberry pi,10.3,13.846777145295947,96,1013.5989765206976,1643548196,1003
DISFOR,San Vincenzo,10,Raspberry pi,10.1,20.043297271305466,94,1013.3868853870932,1643548196,1001
DISFOR,San Vincenzo,10,Raspberry pi,10.2,27.487749887664233,42,1013.4253238627092,1643548196,1002
DIMA,San Martino,2,Raspberry pi,2.2,19.624966364049186,73,1013.4747988840147,1643548196,202
DIBRIS,San Martino,4,Raspberry pi,4.2,8.957172903407367,38,1013.3384597728156,1643548196,402
DISPO,Castelletto,11,Arduino,11.2,11.300561515160494,44,1013.2776977891267,1643548196,1102
DISFOR,San Vincenzo,10,Raspberry pi,10.1,8.677143968925746,52,1013.5248924465213,1643548196,1001
DAD,Molo,6,Raspberry pi,6.1,24.6455161859402,28,1013.5516660442038,1643548196,601
DIRAAS,Prè,9,Arduino,9.1,18.331113965022425,94,1013.3981828854677,1643548196,901
DAFIST,Prè,8,Raspberry pi,8.2,19.51893360514947,93,1013.4402076598905,1643548196,802
DIBRIS,San Martino,4,Raspberry pi,4.1,11.264546921655604,30,1013.4086271279243,1643548196,401
Economia,Darsena,7,Arduino,7.1,21.029217715062767,92,1013.269143759308,1643548196,701
DIMA,San Martino,2,Raspberry pi,2.1,15.386513179901964,19,1013.433800810858,1643548196,201
DISFOR,San Vincenzo,10,Raspberry pi,10.2,8.897134293316054,62,1013.5738569826918,1643548196,1002
DIME,Albaro,5,Arduino,5.1,9.206408551430636,45,1013.5611278679379,1643548196,501
DISPO,Castelletto,11,Arduino,11.1,11.474501900791054,73,1013.4311531109132,1643548196,1101
DIMA,San Martino,2,Raspberry pi,2.3,9.234511603282067,64,1013.4064082186967,1643548196,203
Economia,Darsena,7,Arduino,7.2,24.92353292870457,83,1013.3875426340428,1643548196,702
DISFOR,San Vincenzo,10,Raspberry pi,10.1,8.434038702272334,61,1013.3659292703114,1643548196,1001
DAD,Molo,6,Raspberry pi,6.1,18.067637322538832,27,1013.4289024159675,1643548196,601
DAD,Molo,6,Raspberry pi,6.2,13.499480355276694,69,1013.4639030746288,1643548196,602
DIME,Albaro,5,Arduino,5.2,17.428690312503225,72,1013.4024222306567,1643548196,502
DISPO,Castelletto,11,Arduino,11.1,13.207869262843476,3,1013.3623459135847,1643548196,1101
DISPO,Castelletto,11,Arduino,11.2,19.499226564485078,79,1013.538656814364,1643548196,1102
DISFOR,San Vincenzo,10,Raspberry pi,10.2,14.914088608295966,4,1013.2976228603708,1643548196,1002
DAD,Molo,6,Raspberry pi,6.3,15.098345836557955,18,1013.3223767714194,1643548196,603
DAFIST,Prè,8,Raspberry pi,8.3,19.667229432453105,9,1013.5050059738287,1643548196,803
Economia,Darsena,7,Arduino,7.1,11.790719595362885,15,1013.5765656674013,1643548196,701
DIRAAS,Prè,9,Arduino,9.3,10.07272974653667,43,1013.5087173620557,1643548196,903
DISFOR,San Vincenzo,10,Raspberry pi,10.2,11.061829648045011,50,1013.3016987088299,1643548196,1002
DAD,Molo,6,Raspberry pi,6.1,27.76114627803752,97,1013.3017032187886,1643548196,601
DISFOR,San Vincenzo,10,Raspberry pi,10.2,16.882345076591882,50,1013.4236048432592,1643548196,1002
Economia,Darsena,7,Arduino,7.3,13.175952896941011,67,1013.4625204577013,1643548196,703
